n,p,edges,bfs_time,dfs_time,connected_components_time
500,0.01,1230,0.0,0.0009946823120117188,0.0
500,0.02,2547,0.0009951591491699219,0.0009996891021728516,0.0
500,0.05,6182,0.00099945068359375,0.0,0.0
500,0.1,12502,0.0,0.0010144710540771484,0.0
500,0.2,25014,0.0010027885437011719,0.00098419189453125,0.0
500,0.3,37479,0.0015053749084472656,0.0020449161529541016,0.0
500,0.5,62317,0.0010042190551757812,0.0030438899993896484,0.0
