n,p,edges,pagerank_time
50,0.1,120,0.23309087753295898
100,0.1,488,0.0015230178833007812
200,0.1,1986,0.001999378204345703
500,0.1,12502,0.008525848388671875
1000,0.1,49712,0.035164594650268555
2000,0.1,200075,0.15521669387817383
