n,p,edges,louvain_time,louvain_communities,louvain_modularity,leiden_time,leiden_communities,leiden_modularity
500,0.02,2437,0.0498347282409668,12,0.2818722407879213,0.006569862365722656,11,0.3107062016993185
500,0.05,6214,0.09637665748596191,10,0.1736335894041601,0.011587142944335938,10,0.17330005576245341
500,0.1,12260,0.14113974571228027,10,0.1123593151643696,0.017182350158691406,8,0.11984579954706216
500,0.2,24906,0.3731253147125244,8,0.0754047666024219,0.02712726593017578,8,0.07467220650714702
500,0.3,37493,0.3793768882751465,8,0.05576281866483265,0.03160357475280762,8,0.05436706669939977
500,0.5,62273,0.453383207321167,7,0.03557571564811872,0.06923556327819824,7,0.03571205384226608
