n,p,edges,jaccard_all_pairs_time
50,0.1,120,0.004011631011962891
100,0.1,488,0.01661229133605957
200,0.1,1986,0.10204648971557617
500,0.1,12502,1.0449013710021973
1000,0.1,49712,7.354655027389526
