n,p,edges,pagerank_time
500,0.01,1230,0.00099945068359375
500,0.02,2547,0.0030062198638916016
500,0.05,6182,0.004508256912231445
500,0.1,12502,0.0077359676361083984
500,0.2,25014,0.016077756881713867
500,0.3,37479,0.025043964385986328
500,0.5,62317,0.042792320251464844
