n,p,edges,louvain_time,louvain_communities,louvain_modularity,leiden_time,leiden_communities,leiden_modularity
50,0.1,120,0.0033180713653564453,7,0.3596875,0.0021839141845703125,6,0.37229166666666663
100,0.1,488,0.0050868988037109375,6,0.26647742542327335,0.0015058517456054688,6,0.2732989283794679
200,0.1,1986,0.014714479446411133,7,0.1856680043283853,0.0035314559936523438,7,0.19850585518569566
500,0.1,12502,0.1165461540222168,9,0.10999474126692921,0.016649484634399414,8,0.1163204256859776
1000,0.1,49712,0.5647482872009277,8,0.08385308813105295,0.05232810974121094,10,0.07945733550128042
2000,0.1,200075,2.277888059616089,8,0.05764839133719207,0.2853717803955078,8,0.057792219683206705
