n,p,edges,bfs_time,dfs_time,connected_components_time
50,0.1,120,0.0,0.0,0.0
100,0.1,488,0.0,0.0,0.0
200,0.1,1986,0.0,0.0010001659393310547,0.0
500,0.1,12502,0.002000093460083008,0.0010004043579101562,0.0
1000,0.1,49712,0.0019648075103759766,0.0025229454040527344,0.0015213489532470703
2000,0.1,200075,0.022467851638793945,0.012392044067382812,0.0010182857513427734
5000,0.1,1251119,0.09597134590148926,0.07516098022460938,0.002116680145263672
